,Close,Consumer Price Index: Total All Items for the United States,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Real M2 Money Stock,Unemployment Rate,Federal Funds Effective Rate,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
2000-06-01,1448.810059,0.524781341107882,2.7153642,0.24392,2771.1,4.0,6.65,6.2,172.2
2000-08-01,1438.099976,0.0,2.8853852,0.297119,2789.5,4.1,6.51,6.0,172.7
2000-09-01,1520.77002,0.520833333333312,2.908796,0.174872,2795.6,3.9,6.52,5.68,173.6
2000-11-01,1421.219971,0.0574712643678088,2.8816134,0.215025,2801.5,3.9,6.61,5.74,174.2
2000-12-01,1315.22998,-0.0574382538770748,2.9838403,0.277242,2820.7,3.9,6.6,5.52,174.6
2001-02-01,1373.469971,0.39977155910909,2.9893325,0.262264,2848.9,4.2,5.57,5.1,176.0
2001-03-01,1241.22998,0.227531285551749,2.9711853,0.260577,2880.2,4.3,5.59,4.87,176.1
2001-05-01,1266.439941,0.452232899943458,3.0843327,0.260544,2895.1,4.3,4.61,5.3,177.3
2001-06-01,1260.670044,0.16882386043895,3.2118098,0.364821,2911.4,4.5,4.14,5.39,177.7
2001-08-01,1215.930054,0.0,3.2635089,0.344288,2952.2,4.9,3.79,5.11,177.4
2001-10-01,1038.550049,-0.33651149747618,3.4934371,0.310645,3005.1,5.3,3.02,4.55,177.6
2001-11-01,1084.099976,-0.168823860438935,3.6122717,0.322518,3031.4,5.5,2.61,4.24,177.5
2002-02-01,1122.199951,0.395256916996071,3.5387817,0.24848,3080.6,5.7,1.77,5.02,178.0
2002-03-01,1131.780029,0.562429696287966,3.480145,0.186946,3078.5,5.7,1.78,4.98,178.5
2002-04-01,1146.540039,0.559284116331084,3.4775061,0.245624,3064.9,5.9,1.88,5.44,179.3
2002-05-01,1086.459961,0.0,3.4632677,0.247374,3076.0,5.8,1.88,5.08,179.5
2002-07-01,968.650024,0.111172873818774,3.2740984,0.271298,3105.1,5.8,1.83,4.85,180.0
2002-08-01,884.659973,0.333148250971684,3.1567969,0.227027,3120.0,5.7,1.79,4.47,180.5
2002-10-01,847.909973,0.165745856353599,2.9477485,0.229863,3145.9,5.7,1.85,3.72,181.2
2002-11-01,900.960022,0.0,2.8341831,0.221716,3168.4,5.9,1.74,4.01,181.5
2003-04-01,858.47998,-0.217155266015187,2.4593491,0.095053,3219.9,6.0,1.29,3.84,183.2
2003-05-01,916.299988,-0.163220892274219,2.3483407,0.148913,3258.2,6.1,1.3,3.88,182.9
2003-07-01,982.320007,0.108873162765379,2.237208,0.24582,3289.4,6.2,1.11,3.56,183.7
2003-08-01,980.150024,0.380641653072316,2.1655338,0.160603,3306.7,6.1,1.0,4.44,184.5
2003-10-01,1018.219971,-0.107991360691145,2.1611133,0.210782,3279.4,6.0,1.11,3.96,184.9
2003-12-01,1070.119995,-0.108401084010841,1.976213,0.170789,3270.8,5.7,1.03,4.4,185.5
2004-03-01,1155.969971,0.644468313641263,2.1370611,0.213855,3287.1,5.8,1.04,4.0,187.1
2004-04-01,1132.170044,0.320170757737461,2.2577613,0.223881,3303.7,5.6,1.03,3.91,187.4
2004-06-01,1121.199951,0.317292437863566,2.3794884,0.225217,3319.5,5.6,1.02,4.71,188.9
2004-07-01,1128.939941,-0.158144438587237,2.2638524,0.16143,3323.3,5.5,1.4,4.57,189.1
2004-09-01,1105.910034,0.211081794195252,2.240201,0.193854,3343.2,5.4,1.53,4.13,189.8
2004-10-01,1131.5,0.526592943654557,2.2372194,0.20646,3340.3,5.5,1.86,4.21,190.8
2004-11-01,1130.51001,0.0523834468308086,2.3012131,0.169376,3338.4,5.4,1.83,4.11,191.7
2004-12-01,1191.369995,-0.366492146596853,2.3138859,0.170147,3348.1,5.4,2.04,4.38,191.7
2005-02-01,1189.410034,0.576822233875206,2.2862449,0.221033,3343.5,5.4,2.4,4.15,192.4
2005-03-01,1210.410034,0.782064650677772,2.2461526,0.174295,3336.0,5.2,2.39,4.38,193.1
2005-04-01,1172.920044,0.672529746508014,2.2397223,0.211437,3332.9,5.2,2.83,4.46,193.7
2005-06-01,1202.219971,0.0514403292181004,2.1993552,0.09734,3358.7,5.0,3.02,3.91,193.7
2005-07-01,1194.439941,0.462724935732656,2.3010794,0.231732,3354.2,5.0,3.36,4.06,194.9
2005-08-01,1235.349976,0.511770726714434,2.2644059,0.138483,3350.4,4.9,3.3,4.32,196.1
2005-09-01,1221.589966,1.22199592668025,2.3340762,0.248808,3322.1,5.0,3.57,4.02,198.8
2005-11-01,1202.76001,-0.803212851405626,2.4316658,0.271427,3359.4,5.0,3.99,4.58,198.1
